,Nash
331,"[([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.00198032, 0.99801968, 0.0], [0.0, 0.87431628, 0.12568372]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.00198032, 0.99801968, 0.0], [0.0, 0.87431628, 0.12568372]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.00198032, 0.99801968, 0.0], [0.0, 0.87431628, 0.12568372]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0])]"
332,"[([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([0.85283497, 0.14716503, 0.0], [0.03330375, 0.0, 0.96669625]), ([0.88832978, 0.11167022, 0.0], [0.0, 0.05050669, 0.94949331]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([0.85283497, 0.14716503, 0.0], [0.03330375, 0.0, 0.96669625]), ([0.88832978, 0.11167022, 0.0], [0.0, 0.05050669, 0.94949331]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([0.85283497, 0.14716503, 0.0], [0.03330375, 0.0, 0.96669625]), ([0.88832978, 0.11167022, 0.0], [0.0, 0.05050669, 0.94949331]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0])]"
333,"[([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.09792221, 0.0, 0.90207779], [0.51163426, 0.0, 0.48836574]), ([0.36634696, 0.59429896, 0.03935408], [0.50935983, 0.02164901, 0.46899116]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.09792221, 0.0, 0.90207779], [0.51163426, 0.0, 0.48836574]), ([0.36634696, 0.59429896, 0.03935408], [0.50935983, 0.02164901, 0.46899116]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.09792221, 0.0, 0.90207779], [0.51163426, 0.0, 0.48836574]), ([0.36634696, 0.59429896, 0.03935408], [0.50935983, 0.02164901, 0.46899116]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0])]"
334,"[([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0])]"
335,"[([0.53152582, 0.0, 0.46847418], [0.34229703, 0.0, 0.65770297]), ([0.53152582, 0.0, 0.46847418], [0.34229703, 0.0, 0.65770297]), ([0.53152582, 0.0, 0.46847418], [0.34229703, 0.0, 0.65770297]), ([0.53152582, 0.0, 0.46847418], [0.34229703, 0.0, 0.65770297]), ([0.53152582, 0.0, 0.46847418], [0.34229703, 0.0, 0.65770297]), ([0.53152582, 0.0, 0.46847418], [0.34229703, 0.0, 0.65770297]), ([0.53152582, 0.0, 0.46847418], [0.34229703, 0.0, 0.65770297]), ([0.53152582, 0.0, 0.46847418], [0.34229703, 0.0, 0.65770297]), ([0.53152582, 0.0, 0.46847418], [0.34229703, 0.0, 0.65770297]), ([0.53152582, 0.0, 0.46847418], [0.34229703, 0.0, 0.65770297])]"
336,"[([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0])]"
337,"[([1.0, 0.0, 0.0], [0.0, 0.0, 1.0]), ([1.0, 0.0, 0.0], [0.0, 0.0, 1.0]), ([1.0, 0.0, 0.0], [0.0, 0.0, 1.0]), ([1.0, 0.0, 0.0], [0.0, 0.0, 1.0]), ([1.0, 0.0, 0.0], [0.0, 0.0, 1.0]), ([1.0, 0.0, 0.0], [0.0, 0.0, 1.0]), ([1.0, 0.0, 0.0], [0.0, 0.0, 1.0]), ([1.0, 0.0, 0.0], [0.0, 0.0, 1.0]), ([1.0, 0.0, 0.0], [0.0, 0.0, 1.0]), ([1.0, 0.0, 0.0], [0.0, 0.0, 1.0])]"
338,"[([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0])]"
339,"[([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.40124433, 0.59875567, 0.0], [0.42082142, 0.0, 0.57917858]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.40124433, 0.59875567, 0.0], [0.42082142, 0.0, 0.57917858]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.40124433, 0.59875567, 0.0], [0.42082142, 0.0, 0.57917858]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0])]"
340,"[([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0])]"
341,"[([1.0, 0.0, 0.0], [0.0, 0.0, 1.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.77504332, 0.22495668, 0.0], [0.25575281, 0.74424719, 0.0]), ([1.0, 0.0, 0.0], [0.0, 0.0, 1.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.77504332, 0.22495668, 0.0], [0.25575281, 0.74424719, 0.0]), ([1.0, 0.0, 0.0], [0.0, 0.0, 1.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.77504332, 0.22495668, 0.0], [0.25575281, 0.74424719, 0.0]), ([1.0, 0.0, 0.0], [0.0, 0.0, 1.0])]"
342,"[([0.0, 0.0, 1.0], [0.0, 0.0, 1.0]), ([0.78270196, 0.21729804, 0.0], [0.36704797, 0.0, 0.63295203]), ([0.17092546, 0.0, 0.82907454], [0.01582809, 0.0, 0.98417191]), ([0.0, 0.0, 1.0], [0.0, 0.0, 1.0]), ([0.78270196, 0.21729804, 0.0], [0.36704797, 0.0, 0.63295203]), ([0.17092546, 0.0, 0.82907454], [0.01582809, 0.0, 0.98417191]), ([0.0, 0.0, 1.0], [0.0, 0.0, 1.0]), ([0.78270196, 0.21729804, 0.0], [0.36704797, 0.0, 0.63295203]), ([0.17092546, 0.0, 0.82907454], [0.01582809, 0.0, 0.98417191]), ([0.0, 0.0, 1.0], [0.0, 0.0, 1.0])]"
343,"[([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0])]"
344,"[([0.0, 0.06235402, 0.93764598], [0.42756581, 0.0, 0.57243419]), ([0.0, 0.06235402, 0.93764598], [0.42756581, 0.0, 0.57243419]), ([0.0, 0.06235402, 0.93764598], [0.42756581, 0.0, 0.57243419]), ([0.0, 0.06235402, 0.93764598], [0.42756581, 0.0, 0.57243419]), ([0.0, 0.06235402, 0.93764598], [0.42756581, 0.0, 0.57243419]), ([0.0, 0.06235402, 0.93764598], [0.42756581, 0.0, 0.57243419]), ([0.0, 0.06235402, 0.93764598], [0.42756581, 0.0, 0.57243419]), ([0.0, 0.06235402, 0.93764598], [0.42756581, 0.0, 0.57243419]), ([0.0, 0.06235402, 0.93764598], [0.42756581, 0.0, 0.57243419]), ([0.0, 0.06235402, 0.93764598], [0.42756581, 0.0, 0.57243419])]"
345,"[([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0])]"
346,"[([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0])]"
347,"[([1.0, 0.0, 0.0], [0.0, 0.0, 1.0]), ([1.0, 0.0, 0.0], [0.0, 0.0, 1.0]), ([1.0, 0.0, 0.0], [0.0, 0.0, 1.0]), ([1.0, 0.0, 0.0], [0.0, 0.0, 1.0]), ([1.0, 0.0, 0.0], [0.0, 0.0, 1.0]), ([1.0, 0.0, 0.0], [0.0, 0.0, 1.0]), ([1.0, 0.0, 0.0], [0.0, 0.0, 1.0]), ([1.0, 0.0, 0.0], [0.0, 0.0, 1.0]), ([1.0, 0.0, 0.0], [0.0, 0.0, 1.0]), ([1.0, 0.0, 0.0], [0.0, 0.0, 1.0])]"
348,"[([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0])]"
349,"[([0.29925154, 0.14489746, 0.555851], [0.44328489, 0.22136642, 0.33534868]), ([0.29925154, 0.14489746, 0.555851], [0.44328489, 0.22136642, 0.33534868]), ([0.29925154, 0.14489746, 0.555851], [0.44328489, 0.22136642, 0.33534868]), ([0.29925154, 0.14489746, 0.555851], [0.44328489, 0.22136642, 0.33534868]), ([0.29925154, 0.14489746, 0.555851], [0.44328489, 0.22136642, 0.33534868]), ([0.29925154, 0.14489746, 0.555851], [0.44328489, 0.22136642, 0.33534868]), ([0.29925154, 0.14489746, 0.555851], [0.44328489, 0.22136642, 0.33534868]), ([0.29925154, 0.14489746, 0.555851], [0.44328489, 0.22136642, 0.33534868]), ([0.29925154, 0.14489746, 0.555851], [0.44328489, 0.22136642, 0.33534868]), ([0.29925154, 0.14489746, 0.555851], [0.44328489, 0.22136642, 0.33534868])]"
350,"[([0.63267463, 0.36732537, 0.0], [0.0, 0.5772506, 0.4227494]), ([0.63267463, 0.36732537, 0.0], [0.0, 0.5772506, 0.4227494]), ([0.63267463, 0.36732537, 0.0], [0.0, 0.5772506, 0.4227494]), ([0.63267463, 0.36732537, 0.0], [0.0, 0.5772506, 0.4227494]), ([0.63267463, 0.36732537, 0.0], [0.0, 0.5772506, 0.4227494]), ([0.63267463, 0.36732537, 0.0], [0.0, 0.5772506, 0.4227494]), ([0.63267463, 0.36732537, 0.0], [0.0, 0.5772506, 0.4227494]), ([0.63267463, 0.36732537, 0.0], [0.0, 0.5772506, 0.4227494]), ([0.63267463, 0.36732537, 0.0], [0.0, 0.5772506, 0.4227494]), ([0.63267463, 0.36732537, 0.0], [0.0, 0.5772506, 0.4227494])]"
351,"[([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.47430355, 0.52569645, 0.0], [0.31094315, 0.0, 0.68905685]), ([0.56393486, 0.43606514, 0.0], [0.0, 0.48632271, 0.51367729]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.47430355, 0.52569645, 0.0], [0.31094315, 0.0, 0.68905685]), ([0.56393486, 0.43606514, 0.0], [0.0, 0.48632271, 0.51367729]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.47430355, 0.52569645, 0.0], [0.31094315, 0.0, 0.68905685]), ([0.56393486, 0.43606514, 0.0], [0.0, 0.48632271, 0.51367729]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0])]"
352,"[([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0])]"
353,"[([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0])]"
354,"[([0.0, 0.52694749, 0.47305251], [0.20645985, 0.79354015, 0.0]), ([0.0, 0.52694749, 0.47305251], [0.20645985, 0.79354015, 0.0]), ([0.0, 0.52694749, 0.47305251], [0.20645985, 0.79354015, 0.0]), ([0.0, 0.52694749, 0.47305251], [0.20645985, 0.79354015, 0.0]), ([0.0, 0.52694749, 0.47305251], [0.20645985, 0.79354015, 0.0]), ([0.0, 0.52694749, 0.47305251], [0.20645985, 0.79354015, 0.0]), ([0.0, 0.52694749, 0.47305251], [0.20645985, 0.79354015, 0.0]), ([0.0, 0.52694749, 0.47305251], [0.20645985, 0.79354015, 0.0]), ([0.0, 0.52694749, 0.47305251], [0.20645985, 0.79354015, 0.0]), ([0.0, 0.52694749, 0.47305251], [0.20645985, 0.79354015, 0.0])]"
355,"[([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0])]"
356,"[([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.37443057, 0.0, 0.62556943], [0.50379744, 0.49620256, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.37443057, 0.0, 0.62556943], [0.50379744, 0.49620256, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.37443057, 0.0, 0.62556943], [0.50379744, 0.49620256, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0])]"
357,"[([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0])]"
358,"[([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0])]"
359,"[([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0])]"
360,"[([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0])]"
361,"[([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.85662552, 0.14337448], [0.79806532, 0.20193468, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.85662552, 0.14337448], [0.79806532, 0.20193468, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.85662552, 0.14337448], [0.79806532, 0.20193468, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0])]"
362,"[([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.99279342, 0.00720658, 0.0], [0.0, 0.13426997, 0.86573003]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.99279342, 0.00720658, 0.0], [0.0, 0.13426997, 0.86573003]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.99279342, 0.00720658, 0.0], [0.0, 0.13426997, 0.86573003]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0])]"
363,"[([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0])]"
364,"[([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0])]"
365,"[([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0])]"
366,"[([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.46096306, 0.53903694], [0.28217393, 0.71782607, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.46096306, 0.53903694], [0.28217393, 0.71782607, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.46096306, 0.53903694], [0.28217393, 0.71782607, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0])]"
367,"[([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0])]"
368,"[([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 0.0, 1.0]), ([0.0, 0.47327685, 0.52672315], [0.0, 0.2387298, 0.7612702]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 0.0, 1.0]), ([0.0, 0.47327685, 0.52672315], [0.0, 0.2387298, 0.7612702]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 0.0, 1.0]), ([0.0, 0.47327685, 0.52672315], [0.0, 0.2387298, 0.7612702]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0])]"
369,"[([0.84467977, 0.15532023, 0.0], [0.71122295, 0.28877705, 0.0]), ([0.84467977, 0.15532023, 0.0], [0.71122295, 0.28877705, 0.0]), ([0.84467977, 0.15532023, 0.0], [0.71122295, 0.28877705, 0.0]), ([0.84467977, 0.15532023, 0.0], [0.71122295, 0.28877705, 0.0]), ([0.84467977, 0.15532023, 0.0], [0.71122295, 0.28877705, 0.0]), ([0.84467977, 0.15532023, 0.0], [0.71122295, 0.28877705, 0.0]), ([0.84467977, 0.15532023, 0.0], [0.71122295, 0.28877705, 0.0]), ([0.84467977, 0.15532023, 0.0], [0.71122295, 0.28877705, 0.0]), ([0.84467977, 0.15532023, 0.0], [0.71122295, 0.28877705, 0.0]), ([0.84467977, 0.15532023, 0.0], [0.71122295, 0.28877705, 0.0])]"
370,"[([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0])]"
